PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PO-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-O-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-O-,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-H-,-H-,-H-,-H-,-H-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POR,PH-,PH-,PH-,POL,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-O-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POB,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POR,PH-,PH-,PH-,POL,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POR,PH-,PH-,PH-,POL,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,PS-,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-O-,---,---,---,---,---,---,---,PTL,PH-,PH-,PH-,POL,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,PC-,---,---,-S-,---,---,---,---,---,---,---,---,PTL,PH-,PH-,PH-,POL,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,-O-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,-O-,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,PL-
