PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PB-,PO-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-O-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-O-,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-H-,-H-,-H-,-H-,-H-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-O-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POB,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POR,PH-,PH-,PH-,POL,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POR,PH-,PH-,PH-,POL,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,PS-,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,-O-,---,---,---,---,---,---,---,PTL,PH-,PH-,PH-,POL,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,PL-
---,---,PC-,---,---,-S-,---,---,---,---,---,---,---,---,PTL,PH-,PH-,PH-,POL,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,-O-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,-O-,---,---,---,---,---,---,---,---,---,PL-
---,---,---,---,---,-S-,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,PL-
PT-,PT-,PT-,PT-,PT-,PTR,---,---,---,---,---,---,---,---,PV-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POT,---,---,---,-H-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,POT,---,---,---,---,---,---,---,---,---,---,---,PL-
PO-,PO-,PO-,PO-,PO-,PR-,---,---,---,---,---,---,PTL,PT-,PR-,---,-O-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
PO-,PO-,PO-,PO-,PO-,PR-,---,---,---,-O-,---,---,PL-,PO-,PR-,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,PL-
